nveh,mean_speed,heavy_share,congestion_score,emission_score,aqi_proxy,label
1.0,9.354895637021013,0.0,33.61922959855377,26.390208725957976,178.92743832451177,no_action
1.0,26.139245857851463,0.0,1.4,1.1,125.81800000000003,no_action
1.0,69.97598146316878,0.0,1.4,1.1,125.81800000000003,no_action
1.0,75.00597181486562,0.0,1.4,1.1,125.81800000000003,no_action
1.0,38.13122420832751,0.0,1.4,1.1,125.81800000000003,no_action
1.0,39.984962215934736,0.0,1.4,1.1,125.81800000000003,no_action
1.0,57.13604125521774,1.0,1.4,5.1,224.21800000000002,no_action
1.0,62.990870400000006,0.0,1.4,1.1,125.81800000000003,no_action
1.0,40.33755871428771,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.90695103169011,0.0,1.4,1.1,125.81800000000003,no_action
1.0,20.631513600000005,0.0,8.810670079999989,3.8369727999999896,131.56564288,no_action
1.0,2.9039197723266086,1.0,47.81137650088146,43.29216045534678,304.42153695622824,no_action
1.0,17.49993040140748,0.0,15.700153116903548,10.100139197185042,144.71829231408861,no_action
1.0,64.57703051752749,0.0,1.4,1.1,125.81800000000003,no_action
1.0,45.067843345431186,0.0,1.4,1.1,125.81800000000003,no_action
7.0,4.340120609637543,0.0,63.0517346587974,57.01975878072491,243.24949343952235,rerouting
1.0,38.676476076108194,0.0,1.4,1.1,125.81800000000003,no_action
1.0,27.534346191786412,0.0,1.4,1.1,125.81800000000003,no_action
1.0,59.99399977778545,0.0,1.4,1.1,125.81800000000003,no_action
1.0,44.671236973392496,0.0,1.4,1.1,125.81800000000003,no_action
1.0,38.38187377981752,0.0,1.4,1.1,125.81800000000003,no_action
1.0,23.26154566314348,0.0,3.0245995410843447,1.1,125.81800000000003,no_action
2.0,51.34555062798572,0.0,2.8,2.2,128.12800000000001,no_action
1.0,73.21740290504754,0.0,1.4,1.1,125.81800000000003,no_action
1.0,52.73358653303178,0.0,1.4,1.1,125.81800000000003,no_action
1.0,23.74831188516411,1.0,1.9537138526389577,5.1,224.21800000000002,no_action
1.0,6.276783914439129,0.0,40.391075388233915,32.546432171121744,191.8555075593557,no_action
3.0,48.987234888608825,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,39.93430827931193,0.0,1.4,1.1,125.81800000000003,no_action
1.0,43.123530414931196,0.0,1.4,1.1,125.81800000000003,no_action
2.0,48.81946098143322,0.0,2.8,2.2,128.12800000000001,no_action
2.0,47.22626023365742,0.0,2.8,2.2,128.12800000000001,no_action
1.0,39.033259166012776,0.0,1.4,1.1,125.81800000000003,no_action
1.0,67.99112819994176,0.0,1.4,1.1,125.81800000000003,no_action
1.0,56.10463083958102,0.0,1.4,1.1,125.81800000000003,no_action
3.0,14.801213273263436,0.0,26.437330798820444,20.49757345347313,166.55290425229362,idling_restriction
1.0,9.358396969118004,0.0,33.61152666794039,26.383206061763993,178.9127327297044,no_action
3.0,44.64539707645919,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,31.401531874674998,0.0,1.4,1.1,125.81800000000003,no_action
1.0,42.96487389090564,0.0,1.4,1.1,125.81800000000003,no_action
2.0,63.49856252986635,0.5,2.8,6.2,181.52800000000002,no_action
1.0,87.50531698137034,0.0,1.4,1.1,125.81800000000003,no_action
1.0,87.22734079485707,0.0,1.4,1.1,125.81800000000003,no_action
1.0,0.0,0.0,56.2,47.9,224.098,no_action
2.0,40.17971679831944,0.0,2.8,2.2,128.12800000000001,no_action
2.0,62.40945493144704,0.0,2.8,2.2,128.12800000000001,no_action
1.0,64.99799999879306,0.0,1.4,1.1,125.81800000000003,no_action
1.0,0.0,0.0,56.2,47.9,224.098,no_action
1.0,39.97979851477018,0.0,1.4,1.1,125.81800000000003,no_action
2.0,83.1038257807666,0.0,2.8,2.2,128.12800000000001,no_action
2.0,49.2538166487056,0.0,2.8,2.2,128.12800000000001,no_action
2.0,33.336,0.0,6.8,7.8,139.88800000000003,idling_restriction
1.0,69.97561105852046,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.45032245442519,0.0,1.4,1.1,125.81800000000003,no_action
3.0,46.037820995121244,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,42.71783402705408,0.0,1.4,1.1,125.81800000000003,no_action
3.0,49.53206375330994,0.0,4.199999999999999,3.3000000000000003,130.43800000000002,no_action
1.0,65.68088399999999,0.0,1.4,1.1,125.81800000000003,no_action
1.0,75.35633278876848,1.0,1.4,5.1,224.21800000000002,no_action
4.0,42.9617174144263,0.25,5.6,8.4,163.64800000000002,heavy_vehicle_ban
1.0,78.90542066320769,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.63722954116817,0.0,1.4,1.1,125.81800000000003,no_action
2.0,55.12148777089801,0.0,2.8,2.2,128.12800000000001,no_action
2.0,44.99007306123501,0.0,2.8,2.2,128.12800000000001,no_action
1.0,0.0,0.0,56.2,47.9,224.098,no_action
1.0,35.40243535886384,0.0,1.4,1.1,125.81800000000003,no_action
1.0,11.85144269826669,0.0,28.126826063813283,21.397114603466623,168.44194066727994,no_action
1.0,27.634630333667914,0.0,1.4,1.1,125.81800000000003,no_action
1.0,47.96952707997963,0.0,1.4,1.1,125.81800000000003,no_action
2.0,45.57336175507971,0.0,2.8,2.2,128.12800000000001,no_action
3.0,30.9769022139438,0.3333333333333333,4.199999999999999,7.300000000000001,168.83800000000002,heavy_vehicle_ban
1.0,47.99848859302377,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.99911122839255,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.30639889784646,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.53438062116815,0.0,1.4,1.1,125.81800000000003,no_action
1.0,39.978836812663566,0.0,1.4,1.1,125.81800000000003,no_action
1.0,34.66122092236194,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.14760624257084,0.0,1.4,1.1,125.81800000000003,no_action
1.0,74.80134305701428,0.0,1.4,1.1,125.81800000000003,no_action
1.0,18.62323617431481,0.0,13.228880416507423,7.853527651370383,140.00040806787783,no_action
2.0,50.051772418831405,0.0,2.8,2.2,128.12800000000001,no_action
2.0,34.76820306806692,0.0,2.8,2.2,128.12800000000001,no_action
1.0,74.33591987943957,0.0,1.4,1.1,125.81800000000003,no_action
1.0,44.323487324696224,0.0,1.4,1.1,125.81800000000003,no_action
1.0,49.95265123115211,0.0,1.4,1.1,125.81800000000003,no_action
